nbatch	trainL	validL	elapsed	throughput
85	24.899	25.645	0.611	20.097
86	24.657	25.345	0.613	20.061
87	24.512	25.128	0.611	20.121
88	24.270	25.020	0.597	20.577
89	24.025	24.802	0.598	20.540
90	23.920	24.741	0.599	20.505
91	23.715	24.664	0.600	20.487
92	23.603	24.461	0.598	20.548
93	23.769	24.394	0.605	20.306
94	23.697	24.323	0.606	20.284
95	23.681	24.202	0.598	20.537
96	23.557	23.993	0.599	20.503
97	23.317	23.821	0.599	20.506
98	23.048	23.837	0.594	20.691
99	23.077	23.994	0.595	20.661
100	23.258	24.358	0.594	20.690
101	23.601	24.319	0.593	20.713
102	23.777	24.274	0.593	20.717
103	23.713	24.129	0.600	20.493
104	23.407	23.876	0.607	20.237
105	23.216	23.651	0.613	20.045
106	22.900	23.406	0.612	20.064
107	22.689	23.241	0.612	20.078
108	22.342	23.114	0.600	20.480
109	22.066	22.923	0.613	20.042
110	22.048	22.822	0.613	20.041
111	21.966	22.886	0.607	20.246
112	21.809	22.842	0.607	20.232
113	21.635	22.747	0.613	20.046
114	21.628	22.835	0.601	20.431
115	21.863	22.954	0.599	20.512
116	21.745	22.881	0.607	20.232
117	21.906	22.909	0.606	20.281
118	21.756	22.897	0.607	20.235
119	21.606	22.802	0.606	20.272
120	21.305	22.623	0.613	20.043
121	20.983	22.476	0.607	20.252
122	20.848	22.415	0.607	20.237
123	20.878	22.250	0.614	20.015
124	20.807	22.179	0.613	20.038
125	20.845	22.076	0.613	20.050
126	20.660	22.117	0.606	20.272
127	20.550	22.156	0.601	20.444
128	20.722	22.271	0.595	20.646
129	20.839	22.133	0.600	20.474
130	20.725	21.993	0.613	20.032
131	20.664	21.922	0.614	19.999
132	20.634	21.871	0.613	20.059
133	20.369	21.573	0.614	20.026
134	20.193	21.660	0.602	20.417
135	20.271	21.601	0.595	20.645
136	20.328	21.786	0.595	20.653
137	20.543	21.721	0.595	20.642
138	20.373	21.500	0.600	20.471
139	20.253	21.423	0.601	20.460
140	20.145	21.356	0.600	20.473
141	19.899	21.318	0.600	20.468
142	19.757	21.229	0.607	20.248
143	19.438	21.131	0.613	20.045
144	19.286	20.885	0.613	20.038
145	19.275	20.854	0.613	20.055
146	19.339	20.826	0.607	20.235
147	19.221	20.780	0.600	20.490
148	19.397	20.884	0.595	20.662
149	19.435	20.827	0.596	20.611
150	19.418	20.793	0.593	20.710
151	19.406	20.673	0.600	20.468
152	19.190	20.544	0.600	20.484
153	18.828	20.436	0.601	20.455
154	18.679	20.244	0.600	20.490
155	18.501	20.209	0.600	20.485
156	18.475	20.210	0.594	20.675
157	18.380	20.097	0.600	20.469
158	18.264	20.086	0.600	20.465
159	18.277	20.015	0.604	20.336
160	18.330	19.909	0.600	20.464
161	18.190	19.824	0.600	20.490
162	18.067	20.002	0.594	20.693
163	18.116	20.352	0.598	20.559
164	18.345	20.250	0.598	20.565
165	18.271	20.180	0.598	20.547
166	18.210	20.128	0.594	20.672
167	18.088	20.102	0.593	20.707
168	18.131	20.038	0.595	20.662
169	18.076	20.098	0.595	20.647
170	18.117	20.026	0.594	20.681
171	18.043	19.860	0.595	20.650
172	18.004	19.865	0.596	20.631
173	17.946	19.883	0.595	20.653
174	17.995	19.854	0.597	20.579
175	17.831	19.714	0.602	20.401
176	17.706	19.575	0.606	20.266
177	17.536	19.654	0.596	20.625
178	17.536	19.827	0.594	20.684
179	17.657	19.900	0.597	20.575
180	17.622	19.938	0.639	19.242
181	17.453	19.882	0.616	19.943
182	17.386	19.802	0.607	20.237
183	17.192	19.818	0.597	20.591
184	17.124	19.670	0.595	20.641
185	17.141	19.525	0.600	20.497
186	17.031	19.399	0.599	20.502
187	16.963	19.419	0.594	20.679
188	16.807	19.316	0.601	20.462
189	16.701	19.293	0.600	20.467
190	16.635	19.386	0.596	20.609
191	16.585	19.271	0.602	20.404
192	16.680	19.334	0.596	20.611
193	16.675	19.264	0.603	20.385
194	16.556	19.447	0.651	18.887
195	16.764	19.431	0.620	19.810
196	16.722	19.376	0.605	20.325
197	16.555	19.206	0.604	20.332
198	16.438	19.149	0.601	20.447
199	16.376	19.102	0.621	19.791
200	16.426	19.103	0.604	20.330
201	16.539	19.104	0.598	20.551
202	16.455	19.090	0.600	20.470
203	16.394	18.974	0.600	20.481
204	16.209	18.893	0.602	20.403
205	16.165	18.883	0.663	18.548
206	15.929	18.971	0.621	19.779
207	16.020	18.986	0.604	20.355
208	15.996	18.929	0.599	20.529
209	15.906	18.852	0.600	20.465
210	15.828	18.933	0.595	20.658
211	15.842	18.896	0.594	20.686
212	15.843	18.894	0.595	20.665
213	15.814	18.848	0.601	20.455
214	15.733	18.845	0.600	20.476
215	15.800	18.826	0.600	20.484
216	15.757	18.896	0.594	20.687
217	15.770	18.849	0.597	20.573
218	15.568	18.827	0.596	20.611
219	15.532	18.772	0.602	20.421
220	15.567	18.875	0.633	19.413
221	15.633	18.800	0.613	20.039
222	15.622	18.791	0.606	20.275
223	15.744	18.902	0.600	20.467
224	15.762	18.937	0.619	19.839
225	15.779	18.792	0.610	20.132
226	15.827	18.693	0.619	19.858
227	15.692	18.601	0.608	20.209
228	15.552	18.573	0.601	20.452
229	15.502	18.498	0.601	20.430
230	15.391	18.574	0.612	20.075
231	15.533	18.593	0.603	20.372
232	15.388	18.442	0.605	20.299
233	15.253	18.310	0.662	18.556
234	15.092	18.300	0.635	19.350
235	15.126	18.318	0.610	20.155
236	15.058	18.337	0.599	20.500
237	14.958	18.261	0.601	20.450
238	14.921	18.350	0.594	20.676
239	15.044	18.375	0.594	20.700
240	15.058	18.431	0.594	20.677
241	14.961	18.379	0.594	20.679
242	15.033	18.603	0.595	20.640
243	15.071	18.711	0.595	20.638
244	15.005	18.655	0.594	20.675
245	15.053	18.679	0.599	20.528
246	15.088	18.660	0.599	20.499
247	14.951	18.597	0.606	20.263
248	15.031	18.665	0.602	20.414
249	15.007	18.719	0.646	19.021
250	15.114	18.800	0.625	19.662
251	15.222	19.035	0.605	20.325
252	15.436	19.062	0.600	20.495
253	15.346	19.036	0.596	20.627
254	15.302	18.768	0.595	20.667
255	15.204	18.701	0.660	18.624
256	15.110	18.800	0.655	18.755
257	14.978	18.789	0.615	19.984
258	15.083	18.824	0.602	20.418
259	15.258	18.808	0.596	20.611
260	15.252	18.719	0.595	20.643
261	15.123	18.611	0.600	20.471
262	14.853	18.505	0.608	20.225
263	14.805	18.473	0.607	20.232
264	14.687	18.303	0.606	20.270
265	14.593	18.335	0.608	20.204
266	14.566	18.546	0.620	19.835
267	14.736	18.465	0.601	20.443
268	14.595	18.313	0.608	20.211
269	14.366	18.237	0.618	19.888
270	14.209	18.215	0.685	17.937
271	14.230	18.258	0.641	19.167
272	14.040	18.117	0.622	19.740
273	14.029	17.951	0.604	20.356
274	14.092	17.866	0.608	20.208
275	13.997	17.860	0.614	20.002
276	13.941	17.830	0.616	19.948
277	13.795	17.782	0.613	20.031
278	13.770	17.827	0.612	20.092
279	14.013	18.184	0.602	20.396
280	14.189	18.424	0.597	20.600
281	14.307	18.231	0.613	20.056
282	14.168	18.082	0.616	19.963
283	14.006	18.089	0.611	20.118
284	13.942	18.000	0.613	20.046
285	13.931	17.958	0.617	19.912
286	13.880	17.875	0.599	20.503
287	13.929	17.962	0.634	19.385
288	13.879	17.956	0.618	19.882
289	13.845	17.851	0.608	20.195
290	13.779	17.791	0.605	20.295
291	13.716	17.768	0.603	20.374
292	13.596	17.721	0.654	18.784
293	13.542	17.677	0.631	19.487
294	13.402	17.643	0.622	19.740
295	13.320	17.834	0.612	20.091
296	13.441	17.877	0.608	20.203
297	13.353	17.914	0.608	20.211
298	13.383	17.969	0.608	20.206
299	13.396	17.907	0.599	20.509
300	13.406	18.172	0.603	20.394
301	13.313	18.287	0.604	20.333
302	13.466	18.115	0.600	20.470
303	13.437	17.996	0.608	20.214
304	13.394	17.937	0.607	20.229
305	13.336	17.925	0.604	20.330
306	13.293	17.816	0.608	20.204
307	13.223	17.707	0.602	20.401
308	13.264	17.681	0.609	20.173
309	13.329	17.687	0.676	18.183
310	13.191	17.658	0.646	19.034
311	13.013	17.540	0.634	19.372
312	12.854	17.464	0.609	20.187
313	12.771	17.458	0.603	20.385
314	12.772	17.532	0.601	20.451
315	12.777	17.563	0.608	20.215
316	12.827	17.506	0.609	20.166
317	12.806	17.561	0.607	20.252
318	12.846	17.483	0.619	19.860
319	12.826	17.593	0.610	20.144
320	12.796	17.593	0.612	20.078
321	12.876	17.642	0.607	20.245
322	12.983	17.767	0.632	19.441
323	13.091	17.703	0.620	19.834
324	13.084	17.448	0.620	19.807
325	12.918	17.296	0.610	20.145
