nbatch	trainL	validL	elapsed	throughput
665	9.408	19.460	0.603	20.391
666	9.523	19.609	0.606	20.285
667	9.706	19.606	0.656	18.728
668	10.015	19.678	0.648	18.972
669	10.125	19.591	0.621	19.795
670	10.190	19.460	0.609	20.176
671	10.147	19.516	0.601	20.460
672	10.118	19.589	0.599	20.525
673	10.018	19.534	0.602	20.397
674	9.937	19.675	0.606	20.261
675	9.741	19.523	0.603	20.389
676	9.719	19.420	0.599	20.528
677	9.528	19.383	0.656	18.744
678	9.327	19.320	0.636	19.314
679	9.211	19.256	0.611	20.097
680	9.175	19.274	0.603	20.391
681	9.090	19.243	0.600	20.487
682	9.138	19.390	0.598	20.553
683	9.200	19.617	0.649	18.923
684	9.428	19.558	0.630	19.520
685	9.612	19.515	0.608	20.196
686	9.617	19.392	0.603	20.391
687	9.615	19.289	0.607	20.253
688	9.564	19.466	0.605	20.309
689	9.614	19.699	0.604	20.360
690	9.806	19.686	0.600	20.470
691	9.910	19.786	0.650	18.895
692	10.027	19.780	0.628	19.575
693	9.797	19.631	0.614	20.008
694	9.657	19.680	0.603	20.377
695	9.650	19.629	0.598	20.547
696	9.730	19.665	0.599	20.501
697	9.756	19.602	0.598	20.532
